year,month,MKTRF,SMB,HML,RMW,CMA,UMD,HMLM,REG,IA,ROE,ME,PEAD,FIN,STR,ILR,EPRD
1997,1,0.0499,-0.0182,-0.0142,0.0119,-0.0002,0.0196,-0.025350856,0.025674,-0.006466,0.018159,-0.00795,0.011800206,-0.01768321,0.0262,-0.019063,0.04264
1997,2,-0.0049,-0.0259,0.0567,0.0067,0.0347,-0.0213,0.041481085,0.006426,0.029153,-0.015374,-0.024667,-0.008981989,0.067223978,0.0125,-0.094271,0.004474
1997,3,-0.0503,-0.0043,0.0339,0.005,0.0166,0.009,0.032848752,0.002068,0.017515,0.017708,-0.005279,0.004944642,0.055339189,0.0088,-0.026078,-0.008802
1997,4,0.0404,-0.057,0.0007,0.0326,-0.0072,0.0484,-0.021285297,0.029932,-0.018801,0.038599,-0.047258,0.022384879,0.043222867,0.0243,0.022662,0.064227
1997,5,0.0674,0.0475,-0.0413,-0.0102,-0.0296,-0.0517,-0.027320738,-0.014972,-0.032305,-0.002201,0.050194,-0.009700011,-0.072319738,0.0287,0.016793,0.000684
1997,6,0.041,0.0119,0.0158,0.0056,0.0066,0.026,-0.00766091,0.001107,0.002313,0.021092,0.010326,0.030394776,0.015419737,0.0073,0.014078,-0.000373
1997,7,0.0733,-0.0276,0.0026,0.0007,-0.0258,0.0377,-0.008005798,0.012829,-0.030399,0.012853,-0.014173,-0.013223994,-0.01821836,0.0387,-0.044198,0.005903
1997,8,-0.0415,0.0761,0.0118,-0.0111,-0.0004,-0.0256,0.009455662,0.004401,-0.007059,-0.014198,0.074961,0.00406603,-0.023834939,-0.0016,-0.042518,0.055078
1997,9,0.0535,0.0249,0.0037,-0.0163,-0.0091,0.0147,-0.01012962,-0.026061,-0.001259,-0.010418,0.02435,-0.002360392,-0.032681003,0.017,-0.002611,0.029143
1997,10,-0.038,-0.0052,0.0227,0.01,0.0194,-0.0057,0.017076098,-0.014187,0.026609,-0.010477,-0.010927,-0.034907214,0.014322438,-0.0096,0.046727,0.019053
1997,11,0.0298,-0.0511,0.012,0.0281,0.0184,0.0033,-0.001468707,0.036732,0.028803,0.014029,-0.055217,0.005268145,0.056876721,-0.0201,0.082195,-0.033252
1997,12,0.0132,-0.0203,0.0384,0.0074,0.0192,0.0398,0.01882776,-0.023996,0.022364,0.015724,-0.022245,0.023215365,0.023247733,-0.0291,0.05734,0.021467
1998,1,0.0015,-0.0136,-0.0163,0.0087,-0.0073,0.0014,-0.005953107,0.025942,-0.012061,0.021884,-0.01216,0.001510103,-0.010011511,0.0502,-0.07565,-0.043835
1998,2,0.0704,0.002,-0.0085,-0.0031,-0.0254,-0.0112,-0.009072952,-0.002956,-0.02453,0.011388,0.010586,0.019092438,-0.028013779,0.0192,0.009287,-0.047792
1998,3,0.0476,-0.0065,0.0139,-0.0026,-0.0037,0.0215,0.004927951,-0.010612,0.004996,-0.001759,-0.003378,0.009587731,-0.010337756,0.0184,-0.064633,0.021608
1998,4,0.0073,0,0.0094,-0.0169,-0.0036,0.0074,0.002336696,0.022959,0.001834,-0.001992,0.004968,0.018846638,0.008681359,0.017,0.009095,-0.001576
1998,5,-0.0307,-0.0295,0.0344,0.011,0.0261,0.0182,0.026692788,0.010564,0.022554,0.017795,-0.026343,-0.003663624,0.047050588,0.0074,-0.075966,-0.003343
1998,6,0.0318,-0.0366,-0.0196,-0.0026,-0.0297,0.0728,-0.04739358,0.004225,-0.015159,0.03159,-0.032841,0.011547921,-0.010910948,-0.0144,0.04933,-0.11608
1998,7,-0.0246,-0.0527,-0.0178,0.0174,0.0045,0.0369,-0.022290114,0.028077,0.018848,0.009703,-0.057045,0.030694911,0.060343338,-0.0202,0.012321,0.032708
1998,8,-0.1608,-0.0517,0.0353,0.0337,0.0591,0.0184,0.043801747,0.067132,0.054604,0.030578,-0.061863,0.017257643,0.097856734,-0.0266,0.014052,0.041188
1998,9,0.0615,-0.0078,-0.0342,-0.0188,-0.0299,-0.0081,-0.012912329,0.01275,-0.030812,-0.018265,-0.020592,0.046357172,-0.056348418,0.0275,-0.134695,-0.027381
1998,10,0.0713,-0.0343,-0.0223,0.0093,0.0031,-0.0537,-0.009149015,-0.005144,-0.009612,0.006389,-0.021688,-0.042140329,0.003816786,0.0985,-0.073927,0.005243
1998,11,0.061,0.0075,-0.0325,-0.0086,-0.0118,0.012,-0.034396864,0.012936,-0.000254,0.013699,0.008958,0.032186199,-0.014460512,0.0132,-0.005138,-0.049193
1998,12,0.0616,-0.0156,-0.0419,-0.0076,-0.0339,0.0892,-0.070757953,-0.022555,-0.029332,0.029291,-0.018735,0.065773798,-0.038926767,-0.0163,0.132263,0.015846
1999,1,0.035,-0.0075,-0.046,-0.0277,-0.068,0.0303,-0.036468842,-0.010681,-0.044699,-0.032508,-0.018912,0.030149496,-0.042832401,-0.0232,0.156683,0.004557
1999,2,-0.0408,-0.0522,0.0192,-0.0123,0.041,-0.001,0.006644593,0.000109,0.048135,0.00016,-0.042284,-0.019533838,0.040404798,0.0246,-0.003754,0.006595
1999,3,0.0345,-0.0423,-0.0274,-0.0407,-0.0142,-0.0127,0.000903411,0.004002,0.003158,-0.006922,-0.055833,0.026396726,-0.023216282,0.0021,-0.036977,0.060361
1999,4,0.0433,0.0452,0.0246,-0.0253,0.0089,-0.0904,0.08347643,0.004435,0.026555,-0.05152,0.039806,-0.032685201,0.06719641,0.0237,-0.022641,0.061419
1999,5,-0.0246,0.0371,0.0235,0.0093,0.0334,-0.0519,0.034853695,0.018903,0.004504,0.006804,0.04945,0.02104389,0.018523925,0.0121,-0.035901,0.054565
1999,6,0.0477,0.0229,-0.0319,0.0113,-0.0321,0.0506,-0.047662467,0.04329,-0.021112,0.02391,0.031512,0.012588321,-0.023547177,0.017,-0.057131,-0.072238
1999,7,-0.0349,0.0257,-0.0044,0.0036,0.0322,0.0166,-0.005669477,0.019786,0.034338,0.010281,0.02264,0.011751381,0.039005824,0.0154,0.002084,-0.012328
1999,8,-0.0138,-0.0173,-0.0187,-0.0024,0.0064,0.0312,-0.016031643,0.046299,-0.011989,-0.000297,-0.015497,0.007526801,0.030806618,-0.0339,0.056164,-0.059495
1999,9,-0.0279,0.0259,-0.0349,-0.0075,-0.0123,0.0647,-0.052957065,-0.010359,-0.013826,-0.001695,0.017307,-0.006268199,-0.040548147,-0.0061,0.01288,-0.020363
1999,10,0.0612,-0.0691,-0.0337,-0.0174,-0.0119,0.055,-0.046450925,0.017882,0.003316,0.020317,-0.056493,0.048068402,-0.050610432,-0.0149,-0.08571,-0.048594
1999,11,0.0337,0.058,-0.0612,-0.0428,-0.0174,0.0564,-0.092387573,0.011586,-0.03931,-0.030073,0.057518,0.016738428,-0.114716444,0.0043,0.000699,-0.045702
1999,12,0.0772,0.0539,-0.0833,-0.076,-0.0563,0.1322,-0.092802952,-0.006029,-0.054904,-0.054444,0.041765,0.052634527,-0.100262651,-0.1401,0.176347,0.102683
2000,1,-0.0474,0.0442,-0.0188,-0.0629,0.0472,0.0192,-0.008939234,0.006319,0.029355,-0.049998,0.056171,0.006622152,0.010683195,0.0261,0.108842,0.0659
2000,2,0.0245,0.1828,-0.0959,-0.1865,-0.0048,0.182,-0.179909118,-0.031144,-0.053931,-0.075531,0.221445,0.119815909,-0.245553661,-0.1347,0.031601,0.010967
2000,3,0.052,-0.1532,0.0813,0.1179,-0.0159,-0.0683,0.055907693,0.035075,0.01835,0.076849,-0.14402,0.003560116,0.139815483,0.0989,-0.06299,-0.048536
2000,4,-0.064,-0.0501,0.0726,0.0766,0.0565,-0.0839,0.107402707,0.051049,0.037873,0.087094,-0.048609,-0.020851653,0.069920501,-0.0218,0.131968,-0.022002
2000,5,-0.0442,-0.0381,0.0475,0.0413,0.0137,-0.0898,0.056642882,0.037037,0.005085,0.000196,-0.04595,-0.019280816,0.059875171,-0.0889,0.069458,-0.118367
2000,6,0.0464,0.0992,-0.0842,-0.0831,-0.0295,0.166,-0.140478682,-0.018045,-0.033905,-0.047546,0.102649,-0.000450527,-0.159597569,0.1239,-0.051669,0.173521
2000,7,-0.0251,-0.0103,0.0831,0.0583,0.0294,-0.0005,0.066266812,0.032749,0.022468,0.034292,0.00995,0.003438433,0.07265743,0.0651,-0.079947,0.05434
2000,8,0.0703,-0.0103,-0.0139,-0.0322,0.011,0.0573,-0.031666034,-0.01098,-0.007996,-0.02082,0.004492,0.041212157,-0.028504921,0.0054,-0.068216,0.07032
2000,9,-0.0545,0.0019,0.0717,0.0256,0.0553,0.0197,0.044076695,0.007955,0.052247,0.021026,0.016354,0.032909954,0.086279818,0.0264,-0.085446,-0.04695
2000,10,-0.0276,-0.0265,0.0571,0.0961,0.038,-0.0448,0.030766332,0.064705,0.029226,0.073215,-0.02223,0.004643419,0.107380902,-0.048,0.115745,-0.099007
2000,11,-0.1072,-0.0058,0.123,0.1307,0.0843,-0.0232,0.065246678,0.109018,0.074487,0.103593,0.015397,0.005619722,0.187923728,-0.1463,0.097144,-0.017161
2000,12,0.0119,0.0326,0.0761,0.0171,0.0479,0.0674,0.021190824,0.005126,0.063542,0.05186,0.046807,-0.033566668,0.061133191,-0.0688,0.100328,0.002831
2001,1,0.0313,0.0548,-0.0507,-0.0469,-0.0503,-0.253,0.129625071,-0.061594,-0.071285,-0.107883,0.027241,-0.029956861,-0.100656677,0.1621,-0.077383,0.109081
2001,2,-0.1005,0.0283,0.1247,0.091,0.0907,0.1257,0.108092805,0.063589,0.092309,0.052077,0.028959,0.002887877,0.204176099,0.1219,-0.164603,0.050699
2001,3,-0.0726,0.0233,0.0642,0.0335,0.0392,0.0855,0.040036242,0.026585,0.037704,0.03474,0.02962,0.024093206,0.094711609,-0.0754,0.099628,0.012873
2001,4,0.0794,-0.0086,-0.0467,-0.0306,-0.032,-0.079,-0.054321698,-0.054515,-0.03754,0.000915,-0.009199,0.017239054,-0.087121162,0.0987,-0.094062,0.009867
2001,5,0.0072,0.036,0.0336,0.0025,0.0191,0.0221,0.029643102,-0.002513,0.023804,-0.025165,0.043577,-0.002502549,0.005506228,0.038,-0.051783,-0.035732
2001,6,-0.0194,0.0657,-0.0112,0.016,-0.0151,0.0038,-0.012982048,0.019723,-0.017973,-0.00806,0.06711,0.039784951,0.000517061,0.006,-0.005419,0.02559
2001,7,-0.0213,-0.0282,0.0521,0.0742,0.0307,0.0558,0.016623637,0.055121,0.013768,0.038735,-0.021452,-0.043142234,0.083304068,0.0138,0.064151,0.042494
2001,8,-0.0646,0.0271,0.0231,0.0405,0.0657,0.0553,0.008076748,0.056455,0.05641,0.043155,0.023699,0.024986407,0.090988675,-0.039,0.010217,0.030661
2001,9,-0.0925,-0.0573,0.0145,0.0499,0.0321,0.1148,-0.034940836,0.057667,0.028644,0.09192,-0.049253,0.046116634,0.059437817,-0.0496,0.131185,-0.01348
2001,10,0.0246,0.0527,-0.0765,-0.0298,-0.0455,-0.0847,-0.005921626,-0.005555,-0.029867,-0.043754,0.034861,-0.019297818,-0.091008632,0.1484,-0.109612,-0.126539
2001,11,0.0754,-0.0031,0.0221,-0.0373,-0.0161,-0.0869,0.037556067,-0.029927,-0.011391,-0.084893,-0.013907,-0.013581442,-0.02697079,-0.0313,0.057039,-0.003069
2001,12,0.016,0.0516,0.0084,0.0034,-0.0026,0.0007,0.018586981,-0.02257,-0.001753,0.005419,0.053201,0.035906906,0.005359632,0.0168,-0.061084,-0.018069
2002,1,-0.0144,0.0126,0.0344,0.0469,0.0284,0.0375,0.00013759,0.042877,0.032498,0.003033,0.007237,0.019307215,0.082494838,0.0213,-0.018356,-0.025204
2002,2,-0.0229,-0.0036,0.0216,0.0807,0.0511,0.0682,0.004886661,0.037643,0.044456,0.053235,-0.004922,0.011987957,0.114221056,0.0005,0.047033,0.015172
2002,3,0.0424,0.0425,0.0106,-0.0178,0.0058,-0.0164,0.025067647,-0.005528,0.007761,-0.047001,0.046097,0.008343562,-0.015242737,0.0275,0.001799,0.039505
2002,4,-0.052,0.0672,0.0388,0.0456,0.0538,0.0763,0.019416702,0.040819,0.040731,0.054639,0.075846,0.055143386,0.130678403,0.0211,0.052257,0.055499
2002,5,-0.0138,-0.0302,0.0153,0.0236,0.0244,0.0316,0.00163641,0.006156,0.021865,0.018111,-0.031795,0.003593119,0.055763507,-0.0268,0.022919,0.009842
2002,6,-0.0721,0.0389,-0.0005,0.0393,0.0251,0.0603,-0.021506309,0.005052,0.035485,0.049409,0.035661,-0.009596536,0.052558779,-0.0358,-0.020799,-0.051292
2002,7,-0.0818,-0.0643,-0.0385,0.0379,-0.0099,0.0377,-0.041384744,0.049683,0.019786,0.067016,-0.063911,-0.005097636,0.080208898,0.0128,-0.093713,-0.06168
2002,8,0.005,-0.0131,0.0328,0.0136,-0.0147,0.019,0.005723369,-0.017192,-0.008574,0.025491,0.000007,0.001548896,0.014312182,0.0152,0.024196,-0.015502
2002,9,-0.1035,0.0308,0.0147,0.0329,-0.0219,0.0913,-0.047128661,0.011299,-0.021364,0.044049,0.0312,0.022774236,0.017858959,-0.0177,0.01979,-0.028604
2002,10,0.0784,-0.0431,-0.0395,-0.0339,0.0076,-0.0558,0.01793069,0.015123,0.002843,-0.045614,-0.051206,-0.036275281,-0.051338941,0.0739,-0.143116,-0.106252
2002,11,0.0596,0.0291,-0.0123,-0.092,0.0515,-0.1633,0.113713414,-0.031022,0.032719,-0.111725,0.01496,0.008597892,-0.09992545,0.0018,0.154989,-0.140802
2002,12,-0.0576,0.0062,0.0214,0.0629,-0.0168,0.0964,-0.005429216,0.022776,-0.022589,0.053188,0.000671,-0.017739038,0.073626196,0.1074,-0.17655,0.033143
2003,1,-0.0257,0.007,-0.0083,-0.0099,0.0069,0.0155,0.005035918,0.007808,0.006982,-0.00589,-0.009824,0.02010724,-0.004556291,0.0028,-0.037722,0.013992
2003,2,-0.0188,-0.0093,-0.0139,0.0083,-0.0062,0.0117,-0.030645141,0.013997,-0.001272,0.008778,-0.020245,-0.003767425,0.008632406,-0.0069,0.000847,0.046926
2003,3,0.0109,0.0065,-0.0193,0.0187,-0.0077,0.0148,-0.019263965,-0.009347,-0.001257,0.034092,0.014039,0.022451414,-0.02593904,0.0003,0.028695,0.072265
2003,4,0.0822,0.0102,0.0114,-0.0468,0.0106,-0.0933,0.063488307,-0.029391,0.010369,-0.044513,0.023547,-0.023022219,-0.046364415,0.03,-0.001032,-0.033932
2003,5,0.0605,0.0481,0.004,-0.07,0.0291,-0.107,0.070631735,-0.016245,0.01848,-0.082331,0.038174,-0.003711168,-0.059381184,-0.0152,-0.06915,-0.057286
2003,6,0.0142,0.0166,0.0011,0.0051,-0.0038,-0.01,0.015815117,-0.001291,-0.010629,0.010948,0.02221,0.005620415,0.003321346,-0.0011,0.020029,-0.032774
2003,7,0.0235,0.0454,-0.0124,-0.0414,0.0178,-0.0024,-0.01952366,-0.008789,0.023405,-0.017422,0.043762,0.009419649,-0.029748699,0.0249,-0.045755,-0.003342
2003,8,0.0234,0.0248,0.0153,-0.0225,0.0214,-0.0062,0.015670877,-0.016327,0.023621,-0.012384,0.022397,0.007421249,-0.029673432,-0.015,0.040673,-0.029219
